============================ slowest test durations ============================
2.43s call     tests/integration/usage_statistics/test_integration_usage_statistics.py::test_graceful_failure_with_no_internet
1.04s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_32]
0.74s call     tests/integration/usage_statistics/test_usage_stats_common_messages_are_sent_v3api.py::test_common_usage_stats_are_sent_no_mocking
0.58s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.script_3]
0.39s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.project.upgrade_1]
0.39s call     tests/integration/usage_statistics/test_integration_usage_statistics.py::test_send_malformed_data
0.33s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_7]
0.33s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_28]
0.33s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.list_4]
0.29s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_9]
0.29s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.__init___0]
0.28s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_1]
0.27s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_4]
0.27s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_0]
0.27s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.open_data_docs_0]
0.27s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_1]
0.26s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_50]
0.25s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_30]
0.25s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_4]
0.25s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.demo_4]
0.24s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.clean_2]
0.23s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_38]
0.23s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.add_datasource_0]
0.22s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_39]
0.22s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_3]
0.22s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.run_2]
0.22s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_1]
0.22s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_3]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.__init___1]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_3]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_2]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.build_data_docs_0]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_42]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_7]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.clean_6]
0.21s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_0]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.script_4]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_5]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_4]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_2]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.project.upgrade_2]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_43]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_12]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_4]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.list_1]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_2]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_48]
0.20s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.list_2]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_0]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.new_3]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_2]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_4]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_0]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_2]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_6]
0.19s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.list_5]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_3]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_0]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[expectation_suite.add_expectation_0]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.run_checkpoint_1]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_44]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.init.create_1]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_7]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_34]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.validation_operator.run_1]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_3]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_6]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_41]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.profile_1]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.build_2]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_14]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_20]
0.18s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.demo_2]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_45]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_5]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_17]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.list_3]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_4]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.clean_4]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_1]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[legacy_profiler.build_suite_0]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_46]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.delete_1]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.list_4]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.list_0]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_1]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_22]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.profile_2]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.delete_5]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.project.check_config_0]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.get_batch_list_6]
0.17s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_25]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.list_5]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.edit_0]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.docs.list_4]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.demo_3]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_5]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.delete_5]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.list_1]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.validation_operator.list_0]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.project.check_config_1]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.validation_operator.list_1]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.save_expectation_suite_0]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_4]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[datasource.sqlalchemy.connect_0]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.new_5]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.new_2]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.list_0]
0.16s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.checkpoint.run_1]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.datasource.new_4]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_10]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_11]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.suite.demo_1]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[checkpoint.run_1]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_27]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_13]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_40]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[cli.store.list_1]
0.15s call     tests/integration/usage_statistics/test_usage_statistics_messages.py::test_usage_statistics_message[data_context.test_yaml_config_49]
